REACTOME_REGULATION_OF_PYRUVATE_DEHYDROGENASE_PDH_COMPLEX,REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE,REACTOME_PYRUVATE_METABOLISM,REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE,REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_PYRUVATE_METABOLISM,REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE,REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE,REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS,REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,REACTOME_APOPTOTIC_EXECUTION_PHASE,REACTOME_PROGRAMMED_CELL_DEATH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS,REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,REACTOME_APOPTOTIC_EXECUTION_PHASE,REACTOME_PROGRAMMED_CELL_DEATH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,REACTOME_APOPTOTIC_EXECUTION_PHASE,REACTOME_PROGRAMMED_CELL_DEATH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,REACTOME_CELL_CYCLE,REACTOME_CELL_CYCLE_MITOTIC,REACTOME_MITOTIC_G1_G1_S_PHASES,REACTOME_DNA_REPLICATION,REACTOME_DNA_REPLICATION_PRE_INITIATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,REACTOME_CELL_CYCLE,REACTOME_ORC1_REMOVAL_FROM_CHROMATIN,REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION,REACTOME_CELL_CYCLE_MITOTIC,REACTOME_CELL_CYCLE_CHECKPOINTS,REACTOME_MITOTIC_G1_G1_S_PHASES,REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX,REACTOME_DNA_REPLICATION,REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION,REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,REACTOME_G2_M_CHECKPOINTS,REACTOME_S_PHASE,REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC:ORIGIN_COMPLEX,REACTOME_DNA_REPLICATION_PRE_INITIATION,REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_DNA_REPLICATION_INITIATION,REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,REACTOME_CELL_CYCLE,REACTOME_CELL_CYCLE_MITOTIC,REACTOME_MITOTIC_G1_G1_S_PHASES,REACTOME_CHROMOSOME_MAINTENANCE,REACTOME_DNA_REPLICATION,REACTOME_TELOMERE_MAINTENANCE,REACTOME_EXTENSION_OF_TELOMERES,REACTOME_S_PHASE,REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS,REACTOME_DNA_REPLICATION_PRE_INITIATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS,REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,REACTOME_MRNA_SPLICING,REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA,REACTOME_METABOLISM_OF_RNA,REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION,REACTOME_GENE_EXPRESSION_TRANSCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_GAP_JUNCTION_DEGRADATION,REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION,REACTOME_VESICLE_MEDIATED_TRANSPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY,REACTOME_BASE_EXCISION_REPAIR,REACTOME_DNA_REPAIR,REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_BASE_EXCISION_REPAIR,REACTOME_DNA_REPAIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1,REACTOME_BASE_EXCISION_REPAIR,REACTOME_DNA_REPAIR,REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR,REACTOME_BASE_EXCISION_REPAIR,REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY,REACTOME_DNA_REPAIR,REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_APEX1_INDEPENDENT_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY,REACTOME_BASE_EXCISION_REPAIR,REACTOME_DNA_REPAIR,REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_PCNA_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR,REACTOME_BASE_EXCISION_REPAIR,REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY,REACTOME_DNA_REPAIR,REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_DEPURINATION,REACTOME_BASE_EXCISION_REPAIR,REACTOME_DNA_REPAIR,REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION,REACTOME_BASE_EXCISION_REPAIR,REACTOME_DNA_REPAIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_RESOLUTION_OF_ABASIC_SITES_AP_SITES,REACTOME_BASE_EXCISION_REPAIR,REACTOME_DNA_REPAIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL,REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS,REACTOME_METABOLISM_OF_LIPIDS,REACTOME_METABOLISM_OF_STEROIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS,REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,REACTOME_METABOLISM_OF_LIPIDS,REACTOME_METABOLISM_OF_STEROIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL,REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS,REACTOME_METABOLISM_OF_LIPIDS,REACTOME_METABOLISM_OF_STEROIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS,REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,REACTOME_METABOLISM_OF_LIPIDS,REACTOME_METABOLISM_OF_STEROIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_27_HYDROXYCHOLESTEROL,REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS,REACTOME_METABOLISM_OF_LIPIDS,REACTOME_METABOLISM_OF_STEROIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,REACTOME_METABOLISM_OF_LIPIDS,REACTOME_METABOLISM_OF_STEROIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_RHO_GTPASE_CYCLE,REACTOME_SIGNALING_BY_RHO_GTPASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_SIGNALING_BY_RHO_GTPASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_RHO_GTPASES_ACTIVATE_PKNS,REACTOME_SIGNALING_BY_RHO_GTPASES,REACTOME_RHO_GTPASE_EFFECTORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,REACTOME_SIGNALING_BY_RHO_GTPASES,REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_RHO_GTPASES_ACTIVATE_PKNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_RHO_GTPASES_ACTIVATE_CIT,REACTOME_SIGNALING_BY_RHO_GTPASES,REACTOME_RHO_GTPASE_EFFECTORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_RHO_GTPASES_ACTIVATE_KTN1,REACTOME_SIGNALING_BY_RHO_GTPASES,REACTOME_RHO_GTPASE_EFFECTORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS,REACTOME_SIGNALING_BY_RHO_GTPASES,REACTOME_RHO_GTPASE_EFFECTORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_RHO_GTPASES_ACTIVATE_ROCKS,REACTOME_SIGNALING_BY_RHO_GTPASES,REACTOME_RHO_GTPASE_EFFECTORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_RHO_GTPASES_ACTIVATE_PAKS,REACTOME_SIGNALING_BY_RHO_GTPASES,REACTOME_RHO_GTPASE_EFFECTORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES,REACTOME_SIGNALING_BY_RHO_GTPASES,REACTOME_INNATE_IMMUNE_SYSTEM,REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS,REACTOME_REGULATION_OF_ACTIN_DYNAMICS_FOR_PHAGOCYTIC_CUP_FORMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,REACTOME_SIGNALING_BY_RHO_GTPASES,REACTOME_RHO_GTPASE_EFFECTORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_RHO_GTPASES_ACTIVATE_RHOTEKIN_AND_RHOPHILINS,REACTOME_SIGNALING_BY_RHO_GTPASES,REACTOME_RHO_GTPASE_EFFECTORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES,REACTOME_SIGNALING_BY_RHO_GTPASES,REACTOME_RHO_GTPASE_EFFECTORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,REACTOME_SIGNALING_BY_WNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE,REACTOME_SIGNALING_BY_WNT,REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,REACTOME_DISASSEMBLY_OF_THE_DESTRUCTION_COMPLEX_AND_RECRUITMENT_OF_AXIN_TO_THE_MEMBRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,REACTOME_SIGNALING_BY_WNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_WNT_MEDIATED_ACTIVATION_OF_DVL,REACTOME_SIGNALING_BY_WNT,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_FORMATION_OF_THE_BETA_CATENIN:TCF_TRANSACTIVATING_COMPLEX,REACTOME_SIGNALING_BY_WNT,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_WNT_LIGAND_BIOGENESIS_AND_TRAFFICKING,REACTOME_SIGNALING_BY_WNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_DEACTIVATION_OF_THE_BETA_CATENIN_TRANSACTIVATING_COMPLEX,REACTOME_SIGNALING_BY_WNT,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_WNT_LIGAND_ANTAGONISTS,REACTOME_SIGNALING_BY_WNT,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,REACTOME_SIGNALING_BY_WNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_CA2PLUS_PATHWAY,REACTOME_SIGNALING_BY_WNT,REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_PCP_CE_PATHWAY,REACTOME_SIGNALING_BY_WNT,REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_POST_TRANSCRIPTIONAL_SILENCING_BY_SMALL_RNAS,REACTOME_SIGNALING_BY_WNT,REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING,REACTOME_GENERIC_TRANSCRIPTION_PATHWAY,REACTOME_SIGNALING_BY_NOTCH,REACTOME_GENE_SILENCING_BY_RNA,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,REACTOME_CA2PLUS_PATHWAY,REACTOME_TP53_REGULATES_METABOLIC_GENES,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,REACTOME_MAPK6_MAPK4_SIGNALING,REACTOME_PTEN_REGULATION,REACTOME_GENE_EXPRESSION_TRANSCRIPTION,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,REACTOME_REGULATION_OF_RUNX1_EXPRESSION_AND_ACTIVITY,REACTOME_ESR_MEDIATED_SIGNALING,REACTOME_REGULATION_OF_PTEN_MRNA_TRANSLATION,REACTOME_COMPETING_ENDOGENOUS_RNAS_CERNAS_REGULATE_PTEN_TRANSLATION,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_MECP2,REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION,REACTOME_REGULATION_OF_MECP2_EXPRESSION_AND_ACTIVITY,,,,,,,,,,,,,,,,,,,,
REACTOME_BINDING_OF_TCF_LEF:CTNNB1_TO_TARGET_GENE_PROMOTERS,REACTOME_SIGNALING_BY_WNT,REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,REACTOME_FORMATION_OF_THE_BETA_CATENIN:TCF_TRANSACTIVATING_COMPLEX,REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,REACTOME_CA2PLUS_PATHWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,REACTOME_SIGNALING_BY_WNT,REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,REACTOME_PCP_CE_PATHWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_DEGRADATION_OF_AXIN,REACTOME_SIGNALING_BY_WNT,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,REACTOME_DEUBIQUITINATION,REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_DEGRADATION_OF_DVL,REACTOME_SIGNALING_BY_WNT,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_DISASSEMBLY_OF_THE_DESTRUCTION_COMPLEX_AND_RECRUITMENT_OF_AXIN_TO_THE_MEMBRANE,REACTOME_SIGNALING_BY_WNT,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION,REACTOME_SIGNALING_BY_WNT,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_REPRESSION_OF_WNT_TARGET_GENES,REACTOME_SIGNALING_BY_WNT,REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_SIGNALING_BY_WNT_IN_CANCER,REACTOME_SIGNALING_BY_WNT,REACTOME_DISEASE,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_PHOSPHORYLATION_SITE_MUTANTS_OF_CTNNB1_ARE_NOT_TARGETED_TO_THE_PROTEASOME_BY_THE_DESTRUCTION_COMPLEX,REACTOME_SIGNALING_BY_WNT,REACTOME_DISEASE,REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,REACTOME_DISASSEMBLY_OF_THE_DESTRUCTION_COMPLEX_AND_RECRUITMENT_OF_AXIN_TO_THE_MEMBRANE,REACTOME_SIGNALING_BY_WNT_IN_CANCER,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD4,REACTOME_SIGNALING_BY_WNT,REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,REACTOME_PCP_CE_PATHWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD2_FZD5_AND_ROR2,REACTOME_SIGNALING_BY_WNT,REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,REACTOME_PCP_CE_PATHWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_MISSPLICED_LRP5_MUTANTS_HAVE_ENHANCED_BETA_CATENIN_DEPENDENT_SIGNALING,REACTOME_SIGNALING_BY_WNT,REACTOME_DISEASE,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_WNT_LIGAND_ANTAGONISTS,REACTOME_SIGNALING_BY_WNT_IN_CANCER,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_RNF_MUTANTS_SHOW_ENHANCED_WNT_SIGNALING_AND_PROLIFERATION,REACTOME_SIGNALING_BY_WNT,REACTOME_DISEASE,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION,REACTOME_SIGNALING_BY_WNT_IN_CANCER,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_DVL_INTERACTING_PROTEINS,REACTOME_SIGNALING_BY_WNT,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
